popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
75,-4.899,0.0,0.267,0.568,0.283,0.00211,84.98899999999999
75,-4.001,0.000569,0.4529999999999999,0.473,0.26,0.361,137.575
74,-6.917999999999999,0.00084,0.536,0.185,0.0608,0.0628,117.652
75,-8.027000000000001,0.284,0.445,0.336,0.317,0.0326,123.343
71,-5.571000000000001,1.12e-05,0.5329999999999999,0.292,0.369,0.16,140.167
77,-7.711,0.0675,0.449,0.696,0.128,0.141,125.148
77,-9.249,0.0003109999999999,0.8170000000000001,0.5479999999999999,0.0873,0.132,108.873
74,-7.102,0.00677,0.317,0.2339999999999999,0.0852,0.00242,140.079
79,-9.072,0.0,0.5,0.514,0.447,0.127,118.852
72,-5.263,0.00124,0.601,0.446,0.0871,0.000359,125.145
77,-5.509,0.000513,0.532,0.755,0.39,0.0028699999999999,127.361
73,-11.017,1.82e-05,0.408,0.19,0.0877,0.155,156.344
74,-9.361,0.0977,0.7440000000000001,0.346,0.0649,0.506,97.409
75,-4.921,0.0,0.643,0.534,0.0719,0.0298,95.988
85,-7.638,0.00125,0.573,0.8759999999999999,0.0928,0.018,84.412
73,-4.935,0.0,0.539,0.337,0.111,0.108,86.06299999999999
72,-8.485,2.43e-06,0.518,0.312,0.31,0.0778,144.998
72,-9.397,0.0,0.497,0.547,0.411,0.0613,95.769
74,-9.321,1.19e-06,0.7240000000000001,0.324,0.0908,0.5760000000000001,130.439
72,-6.901,0.0,0.58,0.111,0.132,0.198,116.271
76,-10.036,1.76e-06,0.477,0.423,0.131,0.193,81.204
73,-13.099,0.00026,0.418,0.168,0.0959,0.638,175.088
74,-13.589,0.0,0.395,0.126,0.1009999999999999,0.8,177.679
78,-6.218999999999999,0.000376,0.5720000000000001,0.7959999999999999,0.0702,0.171,129.994
74,-6.593999999999999,0.179,0.951,0.6990000000000001,0.17,0.115,109.979
79,-6.462999999999999,0.0,0.742,0.816,0.384,0.079,113.375
75,-9.78,0.0105,0.813,0.7290000000000001,0.0724,0.56,117.387
71,-9.414,0.205,0.619,0.7090000000000001,0.163,0.0038799999999999,115.043
73,-6.042000000000001,7.75e-05,0.3979999999999999,0.584,0.1,0.000373,122.093
84,-3.051,0.0158,0.92,0.847,0.0359,0.0236,117.046
72,-7.772,1.16e-06,0.691,0.685,0.299,0.0433,127.568
72,-7.992000000000001,0.0966,0.5670000000000001,0.965,0.544,0.0308,128.207
80,-6.205,0.0,0.508,0.774,0.0732,0.0183,139.131
72,-7.064,3.14e-06,0.45,0.7809999999999999,0.264,0.648,106.799
75,-11.994000000000002,3.58e-05,0.887,0.607,0.0662,0.0094,95.846
82,-12.077,0.0055299999999999,0.638,0.569,0.113,0.372,112.055
73,-9.548,0.88,0.7929999999999999,0.856,0.075,0.000726,130.27
73,-6.61,0.0181,0.66,0.6779999999999999,0.0608,0.168,111.346
76,-7.106,0.0,0.491,0.472,0.387,0.25,119.25
75,-13.640999999999998,0.00565,0.522,0.908,0.188,0.546,176.894
71,-5.766,0.0,0.462,0.6709999999999999,0.18,0.00517,168.766
72,-6.722,0.0,0.7959999999999999,0.866,0.284,0.287,129.894
86,-18.064,7.950000000000001e-05,0.6709999999999999,0.732,0.0481,0.257,92.717
83,-7.497999999999999,0.0,0.6920000000000001,0.875,0.12,0.2269999999999999,125.135
76,-8.815,0.0,0.574,0.7859999999999999,0.271,0.128,153.119
79,-3.704,7.98e-06,0.779,0.915,0.1969999999999999,0.0491,138.858
74,-6.132000000000001,0.0001899999999999,0.583,0.6459999999999999,0.0593,0.0984,173.982
75,-5.852,1.54e-06,0.5539999999999999,0.813,0.631,0.416,105.39
76,-7.159,4.429999999999999e-05,0.727,0.812,0.0973,0.0351,88.75
72,-7.867999999999999,1.16e-06,0.555,0.5820000000000001,0.0631,0.103,129.607
75,-5.64,0.0,0.527,0.495,0.188,0.0115,148.72299999999998
82,-5.175,0.0114,0.501,0.257,0.217,0.000147,133.519
71,-6.056,0.0,0.544,0.647,0.13,0.241,157.17
75,-4.897,0.0,0.6609999999999999,0.6559999999999999,0.0708,0.052,144.091
75,-12.238,0.00138,0.898,0.742,0.0461,0.0135,111.485
71,-5.962999999999999,0.0,0.306,0.41,0.1169999999999999,0.0519,174.732
75,-8.179,0.0,0.435,0.184,0.102,0.195,130.276
75,-3.068,2.26e-06,0.7609999999999999,0.765,0.39,0.0292,91.519
82,-10.05,0.0,0.647,0.387,0.3979999999999999,0.0655,79.97399999999999
76,-4.293,0.000296,0.5489999999999999,0.346,0.618,0.0285,94.695
77,-6.32,8.72e-05,0.8540000000000001,0.818,0.166,0.0113,106.894
72,-3.974,1.98e-05,0.6920000000000001,0.6920000000000001,0.515,0.000136,96.814
71,-13.95,1.19e-05,0.8490000000000001,0.624,0.255,0.157,96.216
75,-7.22,0.0,0.778,0.758,0.138,0.432,84.48700000000001
77,-6.472,0.0114,0.763,0.504,0.0817,0.0146,93.857
72,-17.117,1.02e-06,0.765,0.506,0.5710000000000001,0.0279,92.409
73,-7.332000000000001,0.0321,0.324,0.5429999999999999,0.0961,0.032,168.13099999999997
73,-13.222,0.000339,0.867,0.866,0.0864,0.00456,133.148
73,-9.369,0.108,0.797,0.74,0.095,0.5329999999999999,177.87
72,-6.547000000000001,0.000699,0.848,0.7440000000000001,0.129,0.173,96.662
73,-5.379,0.0,0.715,0.612,0.1639999999999999,0.00631,95.487
